id;text
1;Anleitung
2;PowerPath
3;It's about Progress
4;Pläne verwalten
5;Neues Training
6;Vorh. Trainings
7;Zurück
8;-> Einen neuen Plan hinzufügen:\n     1. Gehe zu: 'Pläne verwalten' > 'Plan hinzufügen'\n     2. Gib den Namen des Plans und deine Übungen ein\n     3. Speichern
9;-> Einen Plan löschen:\n     1. Gehe zu: 'Pläne verwalten' > 'Plan löschen'\n     2. Wähle einen Plan zum Löschen aus\n     3. Bestätigen
10;-> Ein neues Training starten:\n     1. Gehe zu: 'Neues Training'\n     2. Wähle einen Plan aus\n     3. Ändere ggf. das Datum\n     4. Starten\n     5. Gib Gewicht und Wiederholungen für jeden Satz ein\n     6. Füge bei Bedarf einen Kommentar hinzu und speichere
11;-> Deinen Fortschritt überprüfen:\n     1. Gehe zu: 'Vorh. Trainings'\n     2. Wähle einen Plan aus\n     3. Drücke 'Anzeigen'
12;-> Trainings bearbeiten/löschen:\n     1. Gehe zu: 'Vorh. Trainings'\n     2. Wähle einen Plan aus\n     3. Drücke 'Bearbeiten'\n     4. Wähle ein Datum\n     5. Bearbeite das Training (Bestätige Gewicht/Wiederholungen durch Hinzufügen des Satzes (!), bzw. ändere die Werte bei Bedarf) ODER lösche das Training
13;Plan hinzufügen
14;Plan bearbeiten
15;Plan löschen
16;Name des Plans
17;Übung hinzufügen
18;Plan speichern
19;Abbrechen
20;Plan auswählen
21;Anwenden
22;Übung hinzufügen...
23;Löschen
24;Training auswählen
25;Datum:
26;Training starten
27;Vorheriges Training
28;Gewicht in KG
29;Wdh.
30;Vorherige Übung
31;Satz hinzufügen
32;Nächste Übung
33;Kommentar
34;Training speichern
35;Verlauf anzeigen
36;Bearbeiten
37;Bearbeiten
38;Bist du sicher?
39;(Eingaben werden nicht gespeichert.)
40;Ja
41;Nein
42;Dieses Training löschen?
43;(Der gesamte Trainingsverlauf wird gelöscht.)
44;Änderungen anwenden?
45;(Hinweis: Bei gelöschten Übungen werden alle bisherigen Daten gelöscht.)
46;App beenden?
47;Einstellungen
48;Sprache:
49;Training löschen
50;Übung
51;Übung hinzugefügt!
52;Bitte gib eine Übung ein.
53;Übung wurde bereits hinzugefügt.
54;Erlaubt: a-z, 0-9, (), -, ., Leerzeichen
55;Trainingsname bereits verwendet.
56;Bitte gib einen Namen ein.
57;Keine Übungen hinzugefügt.
58;Übung wurde bereits hinzugefügt.
59;Ungültiger Übungsname.
60;Kein Plan ausgewählt.
61;Datum wurde bereits verwendet.
62;Ungültiges Datum.
63;Bitte wähle einen Plan aus.
64;Satz
65;Satz hinzugefügt!
66;Ungültige Eingabe.
67;Keine vorherigen Übungen.
68;Dies ist die letzte Übung.
69;Keine Sätze hinzugefügt.
70;Datum auswählen
71;Bitte wähle ein Trainingsdatum.
72;vom
73;Hinweis: Nach Sprachänderung ist ein Neustart erforderlich.
74;-> Sprache der App ändern:\n     1. Öffne die Einstellungen (Startbildschirm, oben links)\n     2. Wähle eine Sprache\n     3. Starte die App neu
75;Statistik
76;Durchschnittliche Wdh.
77;Lieblingsübung (Höchste Satzanzahl)
