id;text
1;Как...
2;PowerPath
3;It's about Progress
4;Управление планами
5;Новая тренировка
6;Прошлые тренировки
7;Назад
8;-> Добавить новый план тренировки:\n     1. Перейдите в: «Управление планами» > «Добавить план»\n     2. Введите название плана и ваши упражнения\n     3. Сохранить
9;-> Удалить план тренировки:\n     1. Перейдите в: «Управление планами» > «Удалить план»\n     2. Выберите план для удаления\n     3. Подтвердите
10;-> Начать новую тренировку:\n     1. Перейдите в: «Новая тренировка»\n     2. Выберите план\n     3. При необходимости измените дату\n     4. Начать\n     5. Введите вес и количество повторений для каждого подхода\n     6. Добавьте комментарий к тренировке (если надо) и сохраните
11;-> Проверить ваш прогресс:\n     1. Перейдите в: «Прошлые тренировки»\n     2. Выберите план\n     3. Нажмите «Показать»
12;-> Редактировать или удалить тренировки:\n     1. Перейдите в: «Прошлые тренировки»\n     2. Выберите план\n     3. Нажмите «Изменить»\n     4. Выберите дату\n     5. Отредактируйте тренировку (Подтвердите вес/повторы, добавив подход или измените числа) ИЛИ удалите тренировку
13;Добавить план
14;Редактировать план
15;Удалить план
16;Название вашего плана
17;Добавить упражнение
18;Сохранить план
19;Отмена
20;Выбрать план
21;Применить
22;Добавить упражнение...
23;Удалить
24;Выбрать тренировку
25;Дата:
26;Начать тренировку
27;Предыдущая тренировка
28;Вес в кг
29;Повторы
30;Пред. упражнение
31;Добавить подход
32;След. упражнение
33;Комментарий
34;СОХРАНИТЬ
35;Показать прошлые
36;Изменить
37;Редактировать
38;Вы уверены?
39;(Ввод не будет сохранён.)
40;Да
41;Нет
42;Удалить эту тренировку?
43;(Все данные этого плана будuт удалены.)
44;Применить изменения?
45;(Внимание: Данные удалённых упражнений будут потеряны.)
46;Выйти из приложения?
47;Настройки
48;Язык:
49;Удалить тренировку
50;Упражнение
51;Упражнение добавлено!
52;Пожалуйста введите упражнение.
53;Упражнение уже добавлено.
54;Допускается: а-я, 0-9, (), -, ., Пробел
55;Название уже использовалось.
56;Пожалуйста добавте название.
57;Вы не добавили упражнения.
58;Упражнение уже существует.
59;Поменяйте название упражнения.
60;Выберите план.
61;Дата уже использована.
62;Проверьте дату.
63;Пожалуйста выберите план.
64;Подход
65;Подход добавлен!
66;Неверный ввод.
67;Нет предыдущих упражнений.
68;Это последнее упражнение.
69;Нет добавленых подходов.
70;Выберите дату
71;Пожалуйста выберите дату.
72;с
73;Перезапустите приложение после смены языка.
74;-> Измените язык приложения:\n     1. Войдите в настройки (главный экран, слева вверху)\n     2. Выберите язык\n     3. Перезапустите приложение
75;Статистика
